ticket_id,movie_id,title,release_date,original_language,adult,cinema,city,show_time,seat_category,age,sex,no_of_persons,ticket_type,ticket_price,payment_price,payment_type,booking_date
TKT0000001,1196364,Thamma,2025-10-21,hi,TRUE,Miraj,Pune,Morning,Platinum,19,Female,5,Balcony,140,713,Wallet,2025-10-29
TKT0000002,1682981,Mission Grey House,2025-01-17,hi,FALSE,Mukta A2,Pune,Afternoon,Silver,45,Female,4,Regular,130,539,Wallet,2025-01-18
TKT0000003,2988922,Sky Force,2025-01-24,hi,FALSE,Mukta A2,Mumbai,Night,Silver,52,Female,5,Regular,150,759,Debit Card,2025-02-03
TKT0000004,4577921,Bhool Chuk Maaf,2025-05-23,hi,FALSE,Mukta A2,Hyderabad,Evening,Platinum,30,Male,5,Student,130,674,Credit Card,2025-06-01
TKT0000005,7802810,Baby John,2024-12-25,hi,FALSE,Cinepolis,Delhi,Evening,Silver,17,Other,2,Student,150,310,Debit Card,2025-01-01
TKT0000006,2988922,Sky Force,2025-01-24,hi,FALSE,INOX,Mumbai,Morning,Platinum,14,Female,2,Regular,120,265,UPI,2025-01-28
TKT0000007,1196364,Thamma,2025-10-21,hi,TRUE,Wave,Kolkata,Afternoon,Platinum,19,Female,2,Student,220,449,Wallet,2025-10-23
TKT0000008,1227739,Homebound,2025-09-26,hi,FALSE,Carnival,Ahmedabad,Night,Platinum,44,Other,4,VIP,170,705,Net Banking,2025-10-02
TKT0000009,1871807,Sikandar Ka Muqaddar,2024-11-29,hi,FALSE,Carnival,Chandigarh,Afternoon,Platinum,33,Male,5,Student,150,757,UPI,2024-12-15
TKT0000010,1486860,Haunted 3D: Ghosts of the Past,2025-09-26,hi,FALSE,INOX,Pune,Morning,Platinum,67,Female,2,Balcony,230,470,Credit Card,2025-10-26
TKT0000011,6342506,Dhadak 2,2025-08-01,hi,FALSE,Cinepolis,Mumbai,Evening,Silver,58,Male,2,Student,220,456,UPI,2025-08-01
TKT0000012,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,Mukta A2,Pune,Night,Silver,23,Female,4,Student,230,926,Credit Card,2024-11-23
TKT0000013,4187179,Pushpa 2: The Rule,2024-12-05,hi,FALSE,PVR Cinemas,Bangalore,Morning,Platinum,180,Female,1,VIP,140,149,Wallet,2024-12-09
TKT0000014,7802810,Baby John,2024-12-25,hi,FALSE,Wave,Chandigarh,Night,Gold,53,Female,4,Student,130,544,Debit Card,2025-01-12
TKT0000015,7802810,Baby John,2024-12-25,hi,FALSE,INOX,Chandigarh,Morning,Gold,69,Female,3,Balcony,180,554,Credit Card,2025-01-07
TKT0000016,7640599,Sitaare Zameen Par,2025-06-20,hi,FALSE,PVR Cinemas,Ahmedabad,Evening,Platinum,49,Male,1,Regular,240,265,UPI,2025-07-06
TKT0000017,7802810,Baby John,2024-12-25,hi,FALSE,Carnival,Bangalore,Morning,Silver,47,Female,3,Balcony,150,466,UPI,2025-01-09
TKT0000018,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,Wave,Bangalore,Evening,Platinum,33,Male,1,Student,140,152,Credit Card,2024-12-06
TKT0000019,1561142,Saira Khan Case,2025-10-10,hi,FALSE,Mukta A2,Hyderabad,Evening,Platinum,22,Female,5,Student,180,912,Credit Card,2025-10-26
TKT0000020,3562219,Emergency,2025-01-17,hi,TRUE,Carnival,Chandigarh,Night,Gold,52,Other,5,VIP,150,768,Wallet,2025-02-06
TKT0000021,3562219,Emergency,2025-01-17,hi,TRUE,INOX,Bangalore,Afternoon,Silver,39,Male,2,VIP,99,206,Wallet,2025-02-11
TKT0000022,6422623,Sikandar,2025-03-30,hi,FALSE,Mukta A2,Ahmedabad,Night,Gold,10,Male,3,Student,180,558,Debit Card,2025-04-14
TKT0000023,4240601,Raid 2,2025-05-01,hi,FALSE,Miraj,Kolkata,Morning,Gold,61,Male,4,Regular,140,579,Net Banking,2025-05-31
TKT0000024,6598281,Chhaava,2025-02-14,hi,FALSE,INOX,Kolkata,Morning,Platinum,57,Female,5,Regular,160,817,Net Banking,2025-02-16
TKT0000025,7764093,Azaad,2025-01-17,hi,FALSE,Wave,Kolkata,Evening,Platinum,31,Female,1,Student,130,142,Debit Card,2025-01-19
TKT0000026,8464396,War 2,2025-08-14,hi,FALSE,Cinepolis,Chandigarh,Evening,Platinum,51,Male,2,Regular,160,334,Debit Card,2025-08-16
TKT0000027,6598281,Chhaava,2025-02-14,hi,FALSE,Wave,Hyderabad,Evening,Gold,41,Female,4,Regular,180,744,Debit Card,2025-02-25
TKT0000028,1871807,Sikandar Ka Muqaddar,2024-11-29,hi,FALSE,PVR Cinemas,Hyderabad,Morning,Silver,13,Female,3,Regular,220,674,Net Banking,2024-12-11
TKT0000029,9744207,Naam (The Missing Identity),2024-11-22,hi,FALSE,Carnival,Hyderabad,Afternoon,Gold,18,Male,4,Regular,170,688,Wallet,2024-11-29
TKT0000030,3562219,Emergency,2025-01-17,hi,TRUE,Carnival,Mumbai,Afternoon,Gold,11,Female,4,Student,120,501,Debit Card,2025-01-31
TKT0000031,9850593,Jigra,2024-10-11,hi,FALSE,Cinepolis,Delhi,Afternoon,Gold,57,Male,3,VIP,99,308,Wallet,2024-10-25
TKT0000032,2988922,Sky Force,2025-01-24,hi,FALSE,INOX,Mumbai,Night,Platinum,60,Female,5,Student,200,1017,Debit Card,2025-02-02
TKT0000033,2988922,Sky Force,2025-01-24,hi,FALSE,Carnival,Pune,Evening,Silver,67,Female,4,VIP,150,623,Credit Card,2025-02-12
TKT0000034,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,INOX,Kolkata,Night,Gold,61,Female,2,Balcony,99,205,UPI,2024-12-09
TKT0000035,4469316,I Want to Talk,2024-11-22,hi,FALSE,INOX,Mumbai,Night,Silver,34,Male,3,VIP,220,675,Net Banking,2024-12-11
TKT0000036,2791647,Bhool Bhulaiyaa 3,2024-11-01,hi,TRUE,Wave,Kolkata,Afternoon,Silver,17,Other,4,Balcony,170,694,Credit Card,2024-11-19
TKT0000037,7112583,Housefull 5,2025-06-06,hi,FALSE,INOX,Pune,Evening,Gold,22,Male,5,Balcony,120,617,Debit Card,2025-06-10
TKT0000038,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Miraj,Bangalore,Night,Platinum,44,Male,2,Student,170,352,UPI,2025-08-13
TKT0000039,1179317,Lord Curzon Ki Haveli,2025-10-10,hi,FALSE,Mukta A2,Kolkata,Afternoon,Silver,57,Female,2,Balcony,99,217,Debit Card,2025-10-17
TKT0000040,7381483,Fateh,2025-01-10,hi,FALSE,Wave,Bangalore,Afternoon,Silver,58,Male,3,VIP,120,376,UPI,2025-02-05
TKT0000041,6905061,Krispy Rishtey,2024-10-18,hi,FALSE,INOX,Kolkata,Evening,Silver,69,Male,4,VIP,220,890,Debit Card,2024-10-24
TKT0000042,1434543,Ek Deewane Ki Deewaniyat,2025-10-21,hi,FALSE,Wave,Delhi,Night,Platinum,68,Female,2,VIP,170,360,Wallet,2025-10-23
TKT0000043,7712618,The Rabbit House,2025-01-03,hi,FALSE,Wave,Kolkata,Morning,Gold,15,Male,2,Student,150,312,UPI,2025-01-03
TKT0000044,9744207,Naam (The Missing Identity),2024-11-22,hi,FALSE,PVR Cinemas,Mumbai,Morning,Silver,53,Female,1,Balcony,180,191,Credit Card,2024-12-07
TKT0000045,4577921,Bhool Chuk Maaf,2025-05-23,hi,FALSE,Miraj,Hyderabad,Afternoon,Platinum,45,Male,5,Regular,150,755,Debit Card,2025-06-20
